Georgi Karakhanyan	L
Cody Bollinger	D
Dustin Pague	W
Gabe Lemley	W
Dustin Piekin	W
Josh Neer	L
Kenny Florian	L
Jeremy Stephens	W
Clay Guida	W
Rich Clementi	W
Luciano Azevedo	L
Dwayne Shelton	W
Tyrone Glover	L
John Strawn	W
Ray Totorico	W
Amar Suloev	L
Steve Berger	W
Matt Serra	W
Caol Uno	L
Rob Baer	W
Jason Bender	W
Fabiano Iha	W
BJ Penn	L
Scott Johnson	W
Stephen Palling	W
Jens Pulver	W
Don Banville	W
Dokonjonosuke Mishima	W
Tim Douglas	W
Kenneth Allen	W
Caol Uno	L
Scott Bills	W
Ed Lutz	W
Scott Bills	W
Rodney Brown	W
Tomas Velazquez	W
