Francisco Sandro da Silva Bezerra	W
Evgeni Myakinkin	D
Daniil Mazurovich	W
Georgy Brusilov	W
Vadislav Tokacheka	W
Valeriy Bozarchuk	W
Daniil Mazurovich	W
Giga Iobidze	W
Anatoli Ciumac	W
Marko Patteri	W
Dmitry Lischuk	W
Viktor Matviychuk	W
Gleb Morozov	W
Eddy Bengtsson	W
Vladimir Gerasimchik	W
Andreas Kraniotakes	L
Alexei Kudin	L
Andrey Poleshchuk	W
Evgeni Guryanov	W
Alexei Kudin	L
Denis Goltsov	W
Magomed Malikov	L
Daniel Omielanczuk	D
German Kondzhoryan	W
Ivan Nechiay	W
Dejan Novakovic	W
Salimgirey Rasulov	W
Guram Gugenishvili	L
Konstantyn Stryzhak	W
Anton Chuvasov	W
Sergei Trushko	W
