Anthony Pettis	L
Conor McGregor	L
Justin Gaethje	L
Tony Ferguson	L
Al Iaquinta	W
Alexander Hernandez	W
Mike Perry	W
Leon Edwards	L
Yancy Medeiros	W
Darren Till	L
Robbie Lawler	L
Jorge Masvidal	L
Matt Brown	W
Rick Story	W
Patrick Cote	W
Alex Oliveira	W
Rafael Dos Anjos	L
John Makdessi	W
Benson Henderson	W
Myles Jury	W
Eddie Alvarez	W
Jim Miller	W
Edson Barboza	W
Adriano Martins	W
Evan Dunham	W
Rafael Dos Anjos	L
KJ Noons	W
Anthony Pettis	L
Melvin Guillard	W
Jeremy Stephens	W
Nate Diaz	L
Dennis Siver	W
Charles Oliveira	W
Vagner Rocha	W
Paul Kelly	W
Chris Horodecki	W
Jamie Varner	W
Benson Henderson	L
Ed Ratcliff	W
Benson Henderson	L
James Krause	W
Jamie Varner	L
Rob McCullough	W
Danny Castillo	W
Kenneth Alexander	D
Yasunori Kanehara	W
Anthony Njokuani	W
Ryan Roberts	W
Jesse Brock	W
Craig Tennant	W
Cruz Chacon	W
Nate Mohr	W
