Rory MacDonald	W
Michael Page	W
Andrey Koreshkov	W
Rory MacDonald	L
Lorenz Larkin	W
Andrey Koreshkov	W
Paul Daley	W
Andrey Koreshkov	L
Rick Hawn	W
Ben Saunders	W
Bryan Baker	W
Michail Tsarev	W
Jacob Ortiz	W
Ben Askren	L
Ben Saunders	W
Chris Lozano	W
Steve Carl	W
Terry Martin	W
Jesse Juarez	W
Ryan Ford	W
Cortez Coleman	W
Clint Hester	W
Eric Dahlberg	L
Charles Blanchard	L
Joseph Baize	W
Brent Weedman	L
Cody Senseney	W
Eric DaVila	W
Daniel Douglas	W
Kyle Baker	W
Ed Nuno	W
Joshua Hancock	W
Matt Brown	L
Ray Perales	W
John Nellermoe	W
Nathan Osterkamp	W
Steve Linton	W
Carlos Julio Molestina	W
