Tony Lopez	L
Liam McGeary	L
Carlos Eduardo	W
Atanas Djambazov	W
Dan McGlasson	W
Cully Butterfield	L
Eric Hammerich	W
Krzysztof Morzyszek	W
Hendrik Oschmann	W
Sergey Sokha	W
Gheorghe Drucioc	W
Dmitriy Bulgak	W
Malik Merad	L
Sergey Sokha	W
Attila Vegh	L
Denis Bogdanov	W
Alexander Grebenkin	W
Antoni Chmielewski	W
Jean Pierre Waflard	W
Matteo Minonzio	W
Jason Jones	W
Dmitry Zabolotny	L
Oleksandr Tsuprikov	W
Juha Saarinen	W
Boris Jonstomp	W
Jair Goncalves	L
Andre Fyeet	W
Mikko Rupponen	L
Andre Fyeet	W
Igor Kolacin	W
Yasuhito Namekawa	L
Gela Getsadze	W
Fedor Emelianenko	L
Krzysztof Gerke	W
Chris Haseman	L
Yasuhito Namekawa	W
Andrei Kopylov	L
Achmed Sagidgusenov	W
Denis Baykov	W
