Paul Daley	L
Yaroslav Amosov	L
Nick Barnes	W
Jordan Mein	L
Yancy Medeiros	L
Luan Chagas	W
Nordine Taleb	L
Neil Magny	L
Josh Koscheck	W
Mike Rhodes	W
Matt Brown	L
Takenori Sato	W
Dong Hyun Kim	L
Jason High	W
Jon Fitch	L
Charlie Brenneman	W
Carlo Prater	L
Luis Ramos	W
Luis Ramos	W
Francisco Ayon	W
Gil de Freitas	W
Jose Gomes	W
Jorge Luis Bezerra	W
Carlos Villamor	W
Igor Fernandes	W
Carlos Eduardo Santos	W
Fabio Issa	W
Mario Neto	L
Leandro Zumbi	W
Henrique Lango	W
Julian Fabrin Soares	W
Mastodonte Mastodonte	W
