Luiz Firmino	L
Adriano Capitulino	W
Amirkhan Adaev	D
Yevgeniy Lakhin	W
Jim Wallhead	W
J.T. Taylor	W
James Birdsley	W
Tim Welch	W
Stryder Davis	W
Steve Berger	W
Mike Gates	W
Ed Nuno	L
Cedric Marks	W
Ray Perales	W
Clyde Jenkins	W
Pat Healy	L
Damian Hatch	W
Ross Ebanez	L
Chris Wilson	W
Shannon Ritch	L
Ryan Schultz	L
Spencer Fisher	L
Nick Gilardi	L
Willy Solorio	D
Justin Gardner	W
Dave Cochien	W
Dave Cochran	W
Paul Purcell	D
Ryan Healy	L
Jeremy Jackson	L
Betiss Mansouri	L
Pat Minihan	L
Nick Gilardi	L
Randy Castle	W
Dave Cochran	W
Travis Galbraith	L
Jacob Porras	L
Gabe Schaeffer	L
Chris Irvine	W
Quincy Clark	W
