Muslim Salikhov	L
Aleksei Kunchenko	W
Li Jingliang	L
Curtis Millender	W
Luigi Vendramini	W
Sean Strickland	W
Max Griffin	W
Lyman Good	W
Keita Nakamura	W
Omari Akhmedov	W
Nicolas Dalby	L
Eduardo Ramon	W
Itamar Rosa	W
Rodrigo Souza	W
Josenildo Ramalho	W
Guilherme Vasconcelos	L
Ricardo Silva	W
Gilmar Dutra Lima	W
Franklin Jensen	L
Misael Chamorro	W
Viscardi Andrade	L
Jose de Ribamar Machado Gomes	L
Jackson Pontes	W
Joao Paulo	W
Misael Chamorro	W
Dyego Roberto	W
Christian Squeti	W
Wellington Bruno Morgenstern	W
Douglas Jandozo	W
