Nikita Krylov	L
Artur Astakhov	L
Evgeny Erokhin	L
Matt Baker	W
Linton Vassell	L
Phil Davis	L
Liam McGeary	L
Linton Vassell	W
Joey Beltran	W
Attila Vegh	W
Muhammed Lawal	W
Mikhail Zayats	W
Muhammed Lawal	W
Atanas Djambazov	W
Attila Vegh	L
Roy Boughton	W
James McSweeney	W
Ricky Shivers	W
Ilir Latifi	W
Rodney Wallace	W
Dwayne Lewis	W
Ryan Jimmo	L
Raphael Davis	L
Trevor Prangley	L
Roger Hollett	W
David Heath	W
BJ Lacy	W
Jeff Quinlan	W
Marcos Rodriguez	W
Arthur Jacintho	W
Kyacey Uscola	W
Richard Montoya	W
John Lansing	W
Hector Ramirez	D
Nate Ducharme	W
Mike Van Arsdale	L
Bryan Pardoe	W
Andre Mussi	W
Tim McKenzie	L
Brian Ebersole	L
