Michael Page	L
Saad Awad	L
Brennan Ward	W
Artenas Young	W
Melvin Manhoef	L
Elton Rodrigues	W
Jordan Mein	L
Nick Diaz	L
Marius Zaromskis	W
Daniel Zarate	W
Joey Villasenor	L
Siyar Bahadurzada	L
Makoto Takimoto	W
Gegard Mousasi	L
James Zikic	L
Yosuke Nishijima	W
Kazuhiro Nakamura	L
Francis Carmont	W
Claudio Godoi	W
Melvin Manhoef	L
Michal Materla	W
Darren Little	W
Kassim Annan	W
Mark Epstein	W
Antony Rea	L
Yuki Kondo	L
Claudio Godoi	L
Lucas Lopes	W
Mauricio Rua	L
Gabriel Santos	W
Osami Shibuya	W
Silvio de Souza	W
Angelo Araujo	L
Jefferson Silva	W
Aaron Sullivan	W
Jorge Magalhaes	L
Adriano Verdelli	W
Roberto Pereira	W
Jose Landi-Jons	L
