Artur Sowinski	L
Rolando Velasco	W
Rivaldo Junior	W
Ramon Lucio dos Santos	W
Rafael Miranda	L
Patrique Tavares	W
Alexandre Almeida	W
Wellington Pereira de Almeida	W
Douglas Cabelo	W
Ivanildo Nunes Santos	W
Alberto Pantoja Luz	W
Wilker Ribeiro	W
Diego Davella	L
Rafael Miranda	L
Erick Carlos Silva	W
Jamil Silveira da Conceicao	W
Joao Neguinho	W
Rodrigo Ruiz	W
Juarez Harles	W
Adail Jackson	W
Robson Cisco	W
Marcio Animal	W
Deive Fonseca	W
Andre Batata	L
Alexandre Almeida	W
Diego Brandao	L
Rivaldo Junior	L
Angelo Carioca	W
Elenildo Freitas	W
Rivaldo Junior	D
Jose dos Reis	W
Dennis Aranha	W
Jones Hulk	W
Elton Lima	W
