Linton Vassell	L
Lukasz Klinger	W
Anthony Ruiz	W
Phil Davis	L
Guilherme Viana	W
Thales Leites	L
CB Dollaway	L
Jacare Souza	L
Constantinos Philippou	W
Lorenz Larkin	W
Tom Lawlor	W
Karlos Vemola	W
Magnus Cedenblad	W
Chris Camozzi	W
Jason Day	W
Kelly Anundson	W
Simon Carlsen	W
Emil Zahariev	W
Lukasz Jurkowski	W
Baga Agaev	L
Gerald Burton-Batty	W
Karol Bedorf	L
Todd Broadaway	W
Vitor Vianna	L
Goce Candovski	W
Piotr Baginski	W
Robert Jocz	W
Evangelista Santos	L
Bastien Huveneers	W
Ali Allouane	W
Al Musa	W
Grzegorz Jakubowski	L
Ross Pointon	L
Dan Burzotta	L
Slavomir Molnar	W
Roy Rutten	W
Kuljit Degun	W
