Jiri Prochazka	L
Ivan Shtyrkov	L
Nikita Krylov	L
Kurban Omarov	W
Abdul-Khamid Davlyatov	W
Mikhail Mokhnatkin	L
Fedor Emelianenko	L
Corey Anderson	L
Quinton Jackson	L
Hans Stringer	W
Stipe Miocic	L
Gian Villante	W
Joey Beltran	W
Roger Hollett	W
Glover Teixeira	L
Igor Pokrajac	L
Kyle Kingsbury	L
James McSweeney	W
Nelson Martins	W
Jackson Mora	W
Jessie Gibbs	W
Alessandro Leal	W
Fernando Tressino	W
Vitor Miranda	W
Edgar Castaldelli Filho	W
Shaton Vaughn	W
Maiquel Falcao	W
Renato Matos	W
Alexandre Ferreira	L
Vitor Miranda	W
Maiquel Falcao	W
Ildemar Alcantara	W
Cleisson Mamute	W
Bruno Alves	W
Alessandro Leal	L
Omni Santos	L
Augusto Menezes Santos	W
Robson Parazinho	W
