Ousmane Thomas Diagne	W
Efrain Escudero	L
Will Chope	W
John Teixeira	L
Shahbulat Shamhalaev	W
Patricio Freire	L
Desmond Green	W
Alisson Deivid Rodrigues	W
Frodo Khasbulaev	L
Atila Lourenco	W
Roberto Bruno da Silva	W
Joao Paulo	W
Marcinei de Custodio	W
Rafael Bastos	W
Rafael Bastos	L
Adson Lira Nascimento	W
Joao Paulo Rodrigues de Souza	W
Jadison da Costa	D
Carlos Augusto	W
Tiago Trator	W
Eliel dos Santos e Santos	W
Glaucker Arrada	W
Eliel dos Santos e Santos	W
Gilberto dos Santos Pantoja	W
Jefferson Alves	W
Renenson Greugy Costa da Silva	W
Hugo Ricardo dos Santos	W
Antonio Carlos	W
