Quinton Jackson	W
Ryan Bader	L
Chael Sonnen	W
Frank Mir	W
Matt Mitrione	L
Fabio Maldonado	W
Jaideep Singh	W
Pedro Rizzo	W
Satoshi Ishii	W
Jeff Monson	W
Dan Henderson	L
Antonio Silva	L
Fabricio Werdum	L
Brett Rogers	W
Andrei Arlovski	W
Tim Sylvia	W
Hong Man Choi	W
Matt Lindland	W
Mark Hunt	W
Mark Coleman	W
Wagner da Conceicao Martins	W
Mirko Filipovic	W
Tsuyoshi Kosaka	W
Antonio Rodrigo Nogueira	W
Antonio Rodrigo Nogueira	D
Naoya Ogawa	W
Kevin Randleman	W
Mark Coleman	W
Yuji Nagata	W
Gary Goodridge	W
Kazuyuki Fujita	W
Egidijus Valavicius	W
Antonio Rodrigo Nogueira	W
Heath Herring	W
Semmy Schilt	W
Chris Haseman	W
Lee Hasdell	W
Ryushi Yanagisawa	W
Renato Sobral	W
Kerry Schall	W
Mihail Apostolov	W
Tsuyoshi Kosaka	L
Ricardo Arona	W
Hiroya Takada	W
Levon Lagvilava	W
Martin Lazarov	W
