Elias Silverio	L
Piotr Strus	L
Lorenz Larkin	L
Brennan Ward	W
Brandon Girtz	W
Michael Page	L
Gilbert Smith	W
Curtis Millender	W
Marius Zaromskis	W
Karo Parisyan	W
Karl Amoussou	W
David Mitchell	L
Max Griffin	L
Kenny Ento	W
Lucas Gamaza	W
Theodore Whitfield	W
Eddie Mendez	L
Joe Williams	L
Brent Cooper	L
Nick Zarate	W
Frank Avant	W
Tony Lopez	L
Larry Mays	W
Tony Lopez	L
Hector Urbina	W
Jay Martinez	L
Hiromitsu Miura	L
Joe Atoe	W
Jay Carter	W
Brendan Seguin	L
Umar Luv	W
Alex Stiebling	W
Jimmy Dexter	W
Danny Higgins	L
Ray Lizama	W
Aaron Torres	W
Sidney Silva	W
Miguel Gutierrez	L
Reggie Orr	W
Reggie Orr	W
Travis Goodman	W
Scott Sepulveda	W
Eric Escobedo	L
Mike Castillo	W
