Alex Nicholson	W
Ben Edwards	W
Alex Nicholson	W
Mikhail Mokhnatkin	W
Josh Copeland	D
Jack May	W
Daniel Gallemore	W
Gian Villante	L
Aleksandar Rakic	L
Darren Stewart	W
Darren Stewart	D
Nikita Krylov	L
Elvis Mutapcic	W
Ryan Jimmo	W
Hans Stringer	L
Ednaldo Oliveira	W
Simao Melo da Silva	W
Cristiano Souza	W
Falco Neto Lopes	W
Baga Agaev	L
Abhijeet Petkar	W
Kleber Raimundo Silva	W
Jacob Quintana	W
Alessandro Stefano	W
Paulo Henrique Garcia Rodrigues	W
Levi da Costa	W
Roque Oliver	W
Joao Paulo	W
Adriano Balbi	W
Geronimo dos Santos	L
Sandro Pitbull	W
Josue Makowiecky da Silva	L
Rogerio Farias	W
Junior Tigre	W
