Roy Nelson	W
Javy Ayala	L
Fedor Emelianenko	L
Mark Hunt	L
Andrei Arlovski	L
Todd Duffee	W
Antonio Silva	W
Alistair Overeem	L
Josh Barnett	L
Daniel Cormier	L
Junior Dos Santos	L
Antonio Rodrigo Nogueira	W
Roy Nelson	W
Mirko Filipovic	W
Shane Carwin	L
Cheick Kongo	W
Brock Lesnar	L
Antonio Rodrigo Nogueira	W
Brock Lesnar	W
Antoni Hardonk	W
Brandon Vera	L
Dan Christison	W
Marcio Cruz	L
Tim Sylvia	W
Wes Sims	W
Wes Sims	W
David Abbott	W
Ian Freeman	L
Pete Williams	W
Roberto Traven	W
Dan Quinn	W
Jerome Smith	W
