Anatoly Tokov	L
Hracho Darpinyan	D
Yaroslav Amosov	L
Rafael Lovato Jr.	L
Matt McKeon	W
Brian Green	W
Aaron Cobb	W
Jorge Santiago	W
Joshua Burkman	L
Mike Bronzoulis	W
Eric DaVila	W
Kazuhiro Nakamura	W
Anthony Ruiz	W
James Head	L
Maiquel Falcao	L
David Branch	W
Mario Miranda	W
John Salter	W
Nissen Osterneck	W
Dave Knight	W
Travis Doerge	W
Jay Ford	W
Mitch Whitesel	W
Brandon McDowell	W
Jeremija Sanders	W
Benji Radach	L
Fabio Leopoldo	L
Curtis Stout	W
Travis Fowler	W
Harvell Hunter	W
Bubba McDaniel	W
Joe Bunch	W
Chester Lauchner	W
Ryan Lopez	W
