Kurt Holobaugh	L
Robert Turnquest	W
Freddy Assuncao	L
Pat Healy	W
Gele Qing	W
Melvin Guillard	L
Tyson Griffin	W
Justin Gaethje	L
TJ O'Brien	W
Luis Palomino	L
Isaac Vallie-Flagg	L
Bobby Green	W
Justin Wilcox	D
Josh Thomson	L
Katsunori Kikuno	W
Tatsuya Kawajiri	L
Shinya Aoki	L
Shinya Aoki	D
Andre Amado	W
Vitor Ribeiro	W
Nam Phan	W
Rani Yahya	W
Caol Uno	W
Hiroyuki Takaya	W
Hidetaka Monma	W
Michihiro Omigawa	W
Ryan Schultz	D
Henry Matamoros	W
Cengiz Dana	W
Bart Palaszewski	W
Sebastian Korschilgen	W
Joachim Hansen	L
Brad Mohler	W
Justin Wisniewski	W
