Houston Alexander	W
Damian Dantibo	W
Jon Madsen	L
Ben Rothwell	L
Junior Dos Santos	L
Pedro Rizzo	W
Josh Barnett	L
Alexander Timonov	W
Sergey Shemetov	W
Michal Kita	W
Hakim Goram	W
Akira Shoji	W
Rodney Glunder	W
Fabiano Scherner	W
Roman Zentsov	L
Valentijn Overeem	W
Ikuhisa Minowa	L
Atte Backman	L
Cheick Kongo	W
Daniel Tabera	D
Jeremy Horn	L
Bob Schrijber	W
Ibragim Magomedov	W
Don Frye	L
Igor Vovchanchyn	L
Carlos Barreto	W
Kazuyuki Fujita	L
Wanderlei Silva	D
Gary Goodridge	W
Vitor Belfort	L
Kiyoshi Tamura	W
Brian Dunn	W
Dan Henderson	L
Joop Kasteel	W
Tsuyoshi Kosaka	W
Tariel Bitsadze	W
Dennis Reed	W
Fabio Piamonte	W
Tsuyoshi Kosaka	L
Semmy Schilt	W
Tsuyoshi Kosaka	W
Todd Medina	W
Big Mo T	W
Lee Hasdell	W
Valentijn Overeem	W
Karimula Barkalaev	L
Bob Schrijber	L
Algirdas Darulis	W
Bob Schrijber	W
Bas Jussen	W
Oleg Tsygolnik	W
Sergei Tunic	W
Pedro Palm	W
Vyacheslav Kiselev	W
Leon Dijk	W
Rob van Leeuwen	W
