Reinier de Ridder	L
Jake Butler	W
Marcin Prachnio	L
Tatsuya Mizuno	W
Rodrigo Carlos	W
Dyego Roberto	W
Daniel Tabera	W
Ronaldo Oliveira Silva	W
Renato Gomes Gabriel	L
Guilherme Bozoli	W
Joao Paulo dos Santos	W
Kaue Dudus	W
Vagner Tiburcio	W
Manoel Henrique Conti	W
Tiago Monaco Tosato	W
Luis Eduardo da Paixao	D
Alberto Cruz	W
Sebastian de Oliveira Jr.	W
Lucas Rota	L
Marcelo Brito	W
Dimitry Burgo	W
Mario Francisco Guerreiro	W
Samuel Naeon	W
Cleiton Alves	W
Ricardo Silva	W
Romulo Nascimento	W
William Dias	W
Ricardo Silva	W
Gilliard Alfredo Fagundes	W
Eduardo Badia	W
Araripe Abreu	W
Eliel Pintado	W
Mauricio Alonso	L
Ricardo Tannus	L
Carlos Galvao	L
Emerson Avila	W
Daniel Ludtke	W
Luis Matoso	W
