Anthony Smith	W
Nikita Krylov	W
Ion Cutelaba	W
Karl Roberson	W
Corey Anderson	L
Misha Cirkunov	W
Alexander Gustafsson	L
Jared Cannonier	W
Anthony Johnson	L
Rashad Evans	W
Patrick Cummins	W
Ovince Saint Preux	W
Phil Davis	L
Jon Jones	L
Ryan Bader	W
James Te Huna	W
Quinton Jackson	W
Fabio Maldonado	W
Kyle Kingsbury	W
Ricco Rodriguez	W
Marvin Eastman	W
Antonio Mendes	W
Marcio Cruz	W
Simao Melo	W
Daniel Tabera	W
Marko Peselj	W
Tiago Monaco Tosato	W
Joaquim Ferreira	W
Leonardo Nascimento Lucio	W
Buckley Acosta	W
Jorge Oliveira	W
Rameau Thierry Sokoudjou	W
Jack Morrison	W
Carlton Jones	W
Ed Herman	L
Justin Ellison	W
Matt Horwich	W
Eric Schwartz	L
