Rogerio Bontorin	L	Submission	2
Roberto Escurra	W	TKO	1
Marcelo Dias	W	Submission (Guillotine)	1
Stenio Barbosa	W	Submission (Rear Naked Choke)	1
Elison Goncalvez	W	Decision - Unanimous	5
Keven Santos	W	Submission (Brabo Choke)	2
Ociel Junior	W	KO	1
Jose Roberto da Silva	W	TKO	1
Alex Bassani	W	Submission (Rear Naked Choke)	1
Wallyson Rossiny	W	Submission (Rear Naked Choke)	1
Anderson Melo dos Santos	W	TKO	4
Diogo Terencio de Souza	W	Submission (Rear Naked Choke)	1
Wellington Luis	W	TKO	1
Valmir Silva	W	Decision - Unanimous	3
