Saul Almeida	D	No Contest	5
Bruno Dias	W	Submission (Guillotine)	2
Andres Jeudi	W	Submission (Rear Naked Choke)	3
Josh Lange	W	Submission (Guillotine)	2
Billy Vaughan	W	Submission (Rear Naked Choke)	1
Dave LaChapelle	W	Submission (Guillotine)	2
Claudio Ledesma	L	Decision - Unanimous	3
Paul Gorman	W	Decision - Unanimous	5
Aguilano Brandao	L	Submission (Armbar)	1
Matthew Smith	W	Submission (Guillotine)	1
Tom Giove	W	Submission (Triangle Choke)	1
Trevor Stone	W	Submission (Rear Naked Choke)	1
Barrington Douse	W	Submission (Rear Naked Choke)	1
Matthew Smith	L	Decision - Unanimous	5
Franklin Isabel	W	Submission (Guillotine)	1
Sean Ratcliffe	W	Submission (Guillotine)	2
Chris Grandmaison	L	Submission (Armbar)	2
Jared Dumais	L	Submission (Armbar)	1
