Aleksander Emelianenko	L
Derrick Lewis	L
Konstantin Erokhin	W
Mirko Filipovic	L
Matt Mitrione	L
Stipe Miocic	L
Shawn Jordan	W
Dave Herman	W
Travis Browne	L
Ben Rothwell	W
Ednaldo Oliveira	W
Parker Porter	W
Brendan Schaub	L
Junior Dos Santos	L
Chris Tuchscherer	W
Shane Carwin	L
Josh Hendricks	W
Justin McCully	W
Fabricio Werdum	L
Randy Couture	L
Mirko Filipovic	W
Carmelo Marrero	W
Fabiano Scherner	W
Kevin Jordan	W
Walter Farias	W
Charlie Brown	W
Fabricio Werdum	L
Branden Lee Hinkle	W
Cicero Costa	W
