Ivan Shtyrkov	D
Sergei Kharitonov	L
Amir Aliakbari	L
Evgeny Erokhin	W
Zelimkhan Umiev	L
Marcus Sursa	W
Dion Staring	W
Vitaly Minakov	L
Alison Vicente	W
Rodrigo Oliveira	L
Thiago Santos	W
Diogo Joaquim Silveira	W
Marcio Luis	W
Eduardo Maiorino	W
Rodrigo da Silva	W
William Baudutte	W
Elivelton Jose Ramos	W
Antonio Mendes	W
Adilson Ferreira Jr.	W
Washington Ferreira	W
Leandro Demolidor	W
Aldenor de Oliveira Coimbra	W
Leopoldo Montenegro	W
Dirlei Broenstrup	L
Jose Lopes	W
Ednaldo Oliveira	L
Wagner da Conceicao Martins	W
Tyago Moreira	W
Josh Barnett	L
Andre Mussi	L
Fabio Jamantha	W
Thiago Santos	L
Simao Melo da Silva	W
Edson Franca	L
Fabio Monstro	W
Guilherme Siva dos Anjos	L
Douglas Humberto	W
Assuerio Silva	W
Afranio Silva	W
Ildemar Alcantara	W
Jefferson Camara Nascimento	W
Wagner da Conceicao Martins	W
Norberto dos Santos Neres	W
Ricardo Amorim	L
Walter Pinto da Silva Jr.	W
Junior Dos Santos	L
Edson Silva	W
Angelo Araujo	L
Guilherme Siva dos Anjos	L
Francimar Barroso	W
Sandro Pitbull	W
Junior Eladio	W
William Mattos	W
Borracha Borracha	W
Borracha Borracha	W
Walter Pinto da Silva Jr.	L
Sidney Santos	W
Andre Mussi	L
Yuri Carlton	L
