Arnold Allen	L
Jeremy Stephens	L
Edson Barboza	L
Eddie Alvarez	L
Anthony Pettis	L
Diego Sanchez	W
Benson Henderson	L
Josh Thomson	W
Jorge Masvidal	W
Tatsuya Kawajiri	W
Shinya Aoki	W
Josh Thomson	W
Mitsuhiro Ishida	W
Rodrigo Damm	W
Josh Thomson	L
Gabe Lemley	W
Mitsuhiro Ishida	L
Tetsuji Kato	W
Tatsuya Kawajiri	W
Nobuhiro Obiya	W
Nobuhiro Obiya	W
Clay Guida	W
Harris Sarmiento	W
Rumina Sato	W
Naoya Uematsu	W
Hiroyuki Takaya	W
Kaynan Kaku	W
Olaf Alfonso	W
Stephen Palling	W
Jeff Hougland	W
Gary Quan	W
