Efrain Escudero	W
Desmond Green	L
Islam Makhachev	L
Abel Trujillo	L
Tony Ferguson	L
Norman Parke	W
Piotr Hallmann	W
Pat Healy	W
Michael Johnson	L
Jamie Varner	W
John Cholish	W
Evan Dunham	L
Francisco Trinaldo	W
Khabib Nurmagomedov	L
Rafael Dos Anjos	W
Rafaello Oliveira	W
Kurt Pellegrino	W
Jim Miller	L
Caol Uno	W
Josh Neer	W
Melvin Guillard	L
Jeremy Stephens	W
Rich Clementi	W
Joe Stevenson	L
Tyson Griffin	L
Terry Etim	W
Jeff Cox	W
Antonio Moreno	W
Jason Dent	W
Nick Diaz	L
Jedrzej Kubski	W
Edilson Florencio	W
Fabricio Camoes	W
Marcelo Brito	L
Josenildo Rodrigues de Oliveira	W
Anderson Cruz	W
Josenildo Ramarho	W
Carlos Alexandre Pereira	W
Adriano Martins	W
Daniel Muralha	W
Emanuel Silva	W
Eiji Mitsuoka	L
Fernando Terere	W
Unknown Fighter	W
Paulo Boiko	W
Thiago Alves	W
Ricardo Ricardo	W
Rivanio Aranha	W
