Ali Bagov	L
Islam Makoev	W
Alexandr Shabliy	L
Munguntsooj Nandinerdene	L
Hyung Seok Lee	W
Pablo Villaseca	W
Brent Primus	L
John Teixeira	L
Robert Washington	W
Alvin Robinson	W
Evandro Oliveira	W
Sergio Alvarez	W
Joao Luiz Nogueira	W
Bruno Machado	W
Marcos Vinicius Costa Silva	W
Aldecley Barbosa Torres	W
Mauricio Ariel Pare	W
Carlo Prater	L
Alexandre Guerra Lopes	W
Dimitry Burgo	W
Eduardo Jochuan	W
Igor Fernandes	W
Diego Braga Alves	W
Eduardo Melo	W
Rodrigo Almeida	W
Joao Paulo Rodrigues de Souza	L
Rivanio Regiz	W
Antonio Lima	W
Rivanio Regiz	W
Patricio Freire	L
Rivanio Regiz	L
Luiz Carlos Gomes da Silva	W
Joao Paulo Rodrigues de Souza	W
Francisco Silva	W
Joao Paulo Rodrigues de Souza	W
Valderi Silva	W
Ricardo Eduardo Lins	W
Fabio Emanuel Rodrigues	W
Glauke Eugenio e Silva	W
Carlos Antonio	W
Edinaldo Edinaldo	W
Gleidson Alves Martins	W
Julio Cesar	W
