Tebaris Gordon	W
Kevin Haley	W
Josh Parisian	L
Travis Wiuff	W
Derrick Brown	W
Azunna Anyanwu	L
Kevin Ray Sears	W
Danyelle Williams	W
Ashley Gooch	L
Keith Bell	W
Mike Mucitelli	W
Tyler King	W
J.A. Dudley	W
Aaron Johnson	L
John Doyle	W
Lewis Rumsey	L
Jesse Peterson	W
Chris Guillen	W
Mike Stewart	L
Cody Lightfoot	W
Dan Cramer	L
Tiawan Howard	W
John Doyle	W
Anthony Dick	W
Jerry Spiegel	W
Shawn DePaul	W
Chris Canale	W
Eric Brown	W
Cody Marandola	W
Todd Chattelle	W
Shawn DePaul	W
Chris Devno	W
Chaz Ackles	L
Eric Brown	L
Eddie Knuckles	W
