Jared Gordon	L
Andre Fili	L
Cub Swanson	L
Levan Makashvili	W
Darren Elkins	W
Ricardo Lamas	L
Nik Lentz	L
Iuri Alcantara	W
Paulo Dantas	W
Eddie Hoch	W
Elieni Silva	W
Arielson Silva	W
Cesario di Domenico	W
Cyldemar Cyldemar	W
Cesar Augusto Cunha Dias	W
Sidney Lessa	W
Yui Chul Nam	L
Amirkhan Mazihov	W
Marcos Rodrigues dos Santos	W
Marcio Soares	W
Rodrigo Ruiz	W
Takafumi Ito	D
Alan Nilson	W
Willamy Freire	W
Leonardo Nogueira	W
Gustavo Careca	W
Ronirley Souza	W
Aldenir Paraiba	W
Roberto Roberto	W
Alex Cobra	W
