Mikuru Asakura	L
Hiroyuki Takaya	L
Hiroshige Tanaka	L
Yojiro Uchimura	W
Kyosuke Yokoyama	W
Dan Hooker	L
Charles Oliveira	L
Ivan Menjivar	W
Darren Elkins	L
Clay Guida	L
Ricardo Lamas	L
Bart Palaszewski	W
George Roop	W
Donald Sanchez	W
Marlon Sandro	W
Jeff Lawson	W
Takeshi Inoue	W
Michihiro Omigawa	L
Masanori Kanehara	W
Ronnie Mann	W
Chris Manuel	W
Rumina Sato	W
Thierry Quenneville	W
Hiroshi Nakamura	D
Baret Yoshida	W
Katsuya Toida	W
Brian Geraghty	W
Jong Man Kim	L
Antonio Carvalho	L
Mark Hominick	W
Byon Sho Kim	W
Jeff Curran	W
Jeff Curran	W
Mark Hominick	W
Bao Quach	D
Tom Niinimaki	W
Hideki Kadowaki	W
Joe Pearson	W
Tsutomu Shiiki	W
Yohei Nanbu	W
Hiroyuki Takaya	L
Yoshinori Amari	W
Edward Button	W
Masanori Sugatani	W
