Thales Leites	L
CB Dollaway	L
Anthony Smith	L
Johny Hendricks	L
Dan Henderson	L
Neil Magny	L
Joshua Burkman	D
Jake Shields	W
Nate Marquardt	W
Yushin Okami	L
Rousimar Palhares	W
Tim Boetsch	L
Trevor Prangley	W
Jesse Taylor	W
Falaniko Vitale	W
Joe Doerksen	W
Alexander Shlemenko	W
Herbert Goodman	W
Jay Silva	W
Art Santore	W
Joey Gorczynski	W
Kalib Starnes	W
Jared Hess	W
James Damien Stelly	W
Virgil Lozano	W
Ron Verdadero	W
Brian Ebersole	W
Fabiano Capoani	W
Tristan Yunker	W
Damir Mihajlovic	W
Jean Francois Lenogue	W
Tatsuya Kurisu	W
Kyle Noke	D
Fabio Galeb	W
Yusaku Tsukumo	W
James Te-Huna	W
James Te Huna	W
Eiji Ishikawa	W
Gegard Mousasi	L
Jae Young Kim	W
Michael Ravenscroft	W
Akihiro Gono	L
Matthew Toa	W
Daiju Takase	W
David Frendin	W
Adam Bourke	W
Michael Grunindike	W
