Rakim Cleveland	L
Rakim Cleveland	L
Guilherme Viana	L
Tony Lopez	L
Virgil Zwicker	L
Virgil Zwicker	D
Matt Uhde	W
Vladimir Matyushenko	L
Chuck Grigsby	W
Dennis Reed	W
Jan Blachowicz	L
Gilbert Yvel	L
Steve Bosse	L
Razak Al-Hassan	W
Brian Albin	W
Rameau Thierry Sokoudjou	W
David Griffin	W
Justin Grizzard	D
Joey Beltran	L
Kevin Ferguson	L
Sherman Pendergarst	W
Eric Schafer	L
James Irvin	L
Thiago Silva	L
Alessio Sakara	W
Keith Jardine	W
Todd Allee	D
Jon Murphy	W
Demian Decorah	W
Brandon Quigley	W
Justin Butler	W
Chuck Purdow	W
Jamie Webb	W
Jason Medina	L
