Anatoly Tokov	L
Gerald Harris	D
Boubacar Balde	W
Arymarcel Santos	W
Darwin Rodriguez	W
Seyed Majid Hashemzadeh	W
Michal Fijalka	L
Mateusz Ostrowski	W
Gadzhimurad Antigulov	L
Michal Gutowski	W
Rafael Rodriguez Gutierrez	W
Michal Pasternak	L
Ramazan Mukailov	L
Michal Szulinski	W
Roman Silvanovich	W
Rimgaudas Kutkaitis	W
Shaun Lomas	W
Michal Fijalka	L
Santana Ou	W
Sultan Aliev	L
Johan Romming	D
Jochim Rijmen	W
Robert Jocz	W
David Tkeshelashvili	L
Mircea Patrascu	W
Roodi Troost	W
Jason Jones	L
Ulas Ilgin	W
