Ilir Latifi	L
Fabio Maldonado	L
Francimar Barroso	W
Francisco France	D
Marius Panin	W
Michal Fijalka	W
Sorin Florea	W
Zsolt Balla	W
Attila Vegh	D
Jonas Billstein	L
Michal Fijalka	W
Milan Hasanzadeh	W
Michael Knaap	W
Dawid Baziak	W
Arnoldas Joknys	W
Nills van Noord	W
Yuji Sakuragi	W
Andre Fyeet	L
Krzysztof Kulak	W
Soltan Burdas	W
Don Rocco	W
Ricardo van Kooten	W
Marco Biswana	W
Bastien Huveneers	L
Adrian Stoiti	W
Sbigniev Romanovskij	D
Dion Staring	L
Marton Marton	W
Stjepan Bekavac	W
Matteo Piran	W
Igor Araujo	L
Jordi Vinyals	W
