Shamil Zavurov	L
Thawa Ril	L
Joshua Thorpe	W
Robert Washington	W
Jorge Sarat	W
Moshe Kaitz	L
Eric Wisely	L
Eric Wisely	L
Tyson Griffin	L
Marcus Aurelio	W
Frankie Edgar	L
Sean Sherk	L
Spencer Fisher	W
Nate Diaz	W
Jamie Varner	W
Joe Jordan	W
Brandon Olsen	W
Toby Imada	W
Ryan Schultz	W
Gabe Ruediger	W
Kotetsu Boku	L
Ray Cooper	L
Yves Edwards	L
Manny Reyes Jr.	W
Phil Johns	W
Yves Edwards	L
Josh Thomson	L
Caol Uno	W
Richard Crunkilton	W
Ryan Diaz	W
Anthony Hamlett	W
Yohei Suzuki	W
Don Kaecher	W
Mike Willus	W
Mike Brown	W
