Kyoji Horiguchi	L
Erson Yamamoto	W
Kron Gracie	L
Kizaemon Saiga	W
L.C. Davis	L
Victor Henry	L
Will Campuzano	L
Taylor McCorriston	W
Rumina Sato	W
Yusup Saadulaev	L
Antonio Banuelos	L
Masakazu Imanari	W
Atsushi Yamamoto	W
Yoshiro Maeda	W
Kazuhisa Watanabe	W
Joachim Hansen	L
Akiyo Nishiura	L
Jong Man Kim	W
Hiroyuki Takaya	L
Abel Cullum	W
Daiki Hata	L
Daisuke Nakamura	L
Atsushi Yamamoto	L
Takeshi Yamazaki	W
Darren Uyenoyama	W
Kiyoshi Tamura	L
Wataru Inatsu	W
Kultar Gill	L
Brad Pickett	W
Kazuya Yasuhiro	W
Royler Gracie	W
Ken Kaneko	W
Ivan Menjivar	L
Kultar Gill	L
Yoshinori Ikeda	W
Erikas Petraitis	L
Royce Gracie	D
Gabe Lemley	W
Caol Uno	L
Alexandre Franca Nogueira	W
Erikas Petraitis	W
Masahiro Oishi	L
Darius Skliaudys	L
Shuichiro Katsumura	W
Naoyuki Kotani	L
Shinya Sato	W
Remigijus Morkevicius	W
Erikas Petraitis	W
Tomomi Iwama	L
Masahiro Oishi	W
Taiyo Nakahara	W
Remigijus Morkevicius	L
Antanas Jazbutis	L
Hidehiko Matsumoto	W
Atsuhiro Tsuboi	W
Masaya Takita	W
Takumi Yano	W
Miki Shida	D
Naoyuki Kotani	L
Sumio Koyano	W
Akira Nitagai	W
Takayuki Yamamoto	L
Masashi Suzuki	L
Wataru Yoshikawa	W
Yuji Hisamatsu	L
Naoto Ichikawa	L
