Jan Blachowicz	L
Marcos Rogerio de Lima	L
Rafael Cavalcante	L
Ryan Jimmo	L
Joey Beltran	D
Vinny Magalhaes	L
Fabio Maldonado	W
Krzysztof Soszynski	W
Todd Brown	W
Stephan Bonnar	L
James Irvin	W
James Te Huna	L
Vladimir Matyushenko	L
Kalvis Gebauers	W
Roderik Jambor	W
Mihajlo Fincur	W
Patrik Javicky	W
Jan Antoska	W
Martin Zawada	W
Marko Sintic	W
Ladislav Zak	W
Mamed Khalidov	L
Bojan Spalevic	W
Slaven Planinic	W
Sasa Lazic	W
Assuerio Silva	L
Ivan Brguljan	W
Lukasz Jurkowski	W
Jure Lucic	W
Ivan Bacic	W
Lukasz Jurkowski	L
Branislav Zeman	W
Miodrag Petkovic	L
Peter Cakic	W
Miodrag Petkovic	L
Pavel Botka	W
Andre Castro	W
Matthias Riccio	W
Nik Peric	W
