Oli Thompson	L
Shinichi Suzukawa	L
Hoon Kim	W
Hyae Suk Son	L
Bor Bratovz	W
Jin Soo Yuk	W
Alexander Shlemenko	L
Kendall Grove	L
Baru Harn	W
Hiroshi Izumi	L
Satoshi Ishii	L
Imani Lee	W
Jimmy Ambriz	W
Rameau Thierry Sokoudjou	W
Hong Man Choi	W
Bob Sapp	W
Katsuyori Shibata	L
Errol Zimmerman	W
Masakatsu Funaki	L
Taiei Kin	L
Lee Kwan Bum	W
Kevin Casey	W
Kiyoshi Tamura	L
Mike Polchlopek	W
Eric Esch	W
Mirko Filipovic	L
Paulo Cesar Silva	W
Kazushi Sakuraba	L
Phil Baroni	W
Murilo Bustamante	L
Kimo Leopoldo	W
Phil Baroni	L
Gilbert Yvel	W
Stefan Leko	W
Ryuki Ueyama	W
Kenichi Yamamoto	W
Ryan Gracie	L
Wanderlei Silva	L
Quinton Jackson	L
Ricardo Almeida	L
Paulo Filho	L
Joe Slick	W
Chris Lytle	W
