Hatsu Hioki	L
Wilson Reis	L
Urijah Faber	L
Azamat Gashimov	W
Mike Easton	L
John Albert	W
Nick Pace	W
Charlie Valencia	W
Brad Pickett	L
Aaron Miller	W
Bart Palaszewski	L
Caol Uno	L
Hideo Tokoro	W
Justin Tavernini	W
Taiyo Nakahara	W
Urijah Faber	L
Joe Lauzon	W
Miki Shida	W
Brandon Carlson	W
	W
Matt Serra	L
Mike French	W
Antoine Coutu	W
Vitor Ribeiro	L
Brandon Shuey	W
Max Marin	W
Andy Social	W
Shane Rice	W
Jay Palmer	W
Jeff Curran	W
Jason Black	L
Andy Lalonde	W
Georges St-Pierre	L
Dany Ward	W
Francois Flibotte	W
J.F. Bolduc	W
David Guigui	W
