Bryan Barberena	L
Ben Saunders	L
Mike Perry	L
Jorge Masvidal	L
Matt Brown	W
Tarec Saffiedine	L
Stephen Thompson	L
Josh Koscheck	W
Kelvin Gastelum	L
Robbie Lawler	L
Rory MacDonald	L
Nate Marquardt	W
Jay Hieron	W
Martin Kampmann	L
Diego Sanchez	W
Jake Shields	W
Sean Pierson	W
Carlos Eduardo Rocha	W
John Howard	W
Mike Pyle	W
Carlos Condit	L
Marcelo Alfaya	W
Brendan Seguin	W
Doo Won Seo	W
Farouk Lakebir	W
Rick Story	L
Pat Healy	W
Jose Landi-Jons	W
Delson Heleno	L
Zach Light	W
Ben Uker	W
Derrick Noble	L
Ryan Stout	W
Jay Hieron	L
Gil Castillo	W
Kenneth Allen	W
Mark Bear	W
LaVerne Clark	W
Sean Huffman	W
Brian Daley	W
Evan Boemer	W
Brent Shepard	W
Deryck Ripley	W
Brad Fox	W
Cory Simpson	W
Cameron Wells	W
