Drew Dober	L
James Krause	L
Abel Trujillo	L
Gleison Tibau	L
Melvin Guillard	W
Joe Lauzon	L
Edson Barboza	W
Drew Fickett	W
Nate Jolly	W
Dakota Cochrane	L
Tyler Combs	W
Shane Roller	L
Donald Cerrone	L
Kamal Shalorus	D
Benson Henderson	L
Donald Cerrone	W
Marcus Hicks	W
Rob McCullough	W
Sherron Leggett	W
Jason Gilliam	W
Hermes Franca	L
Leonard Wilson	W
Tony Llamas	D
Paul Arroyo	W
Adam Roland	W
Jesse Bongfeldt	W
Kyle Bradley	W
Kyle Sprouse	W
Garrett Davis	W
James Upshur	D
Jarvis Brennaman	W
David Klein	W
Justin Nauling	W
Jesse Moreng	L
Carlos Ortega	W
