Terrion Ware	L
Keith Carson	W
Alex Perez	W
Rolando Velasco	L
Ara Muradyan	W
Russell Doane	L
Jeff Martin	W
John Robles	W
Brandon Bender	L
Terrion Ware	W
Tim Elliott	L
Dustin Pague	L
Mike Easton	L
Marvin Garcia	W
Abel Cullum	W
Kana Hyatt	W
Jimmie Rivera	L
Kana Hyatt	W
Maurice Eazel	W
Ryan Bastianelli	W
Tyler Weathers	W
Shad Smith	W
Shad Smith	L
Greg Guzman	W
Ryan Bastianelli	D
Justin Cummings	W
Darren Crisp Jr.	L
Vince Ortiz	L
Ray Cox	W
Vincent Martinez	W
Art Arciniega	L
Karen Darabedyan	L
Jorge Acosta	W
Josh Chaves	W
