Rashad Coulter	L
Edgar Verdin	L
Raphael Butler	L
Quentin Henry	L
Justin Friddle	L
Kelly Rundle	W
Jayme Mckinney	W
Shilom Johnson	L
Brandon McDowell	L
Keith Richards	L
Jason Wright	W
David Padilla	W
Rodrigo Pinheiro	L
Levy Green	W
Jeff Lindsay	L
TJ Waldburger	L
Jon Kirk	L
Todd Moore	L
Rich Chavez	W
Shawn Freese	W
Antonio Flores	W
Tommy Gouge	W
Shawn Freese	W
Matt Hershberger	W
Carlo Prater	L
Randall Ebarb	L
Lee King	W
Marco Macera	L
Warren Donley	L
Ricardo Gonzalez	W
Chad Cook	L
Ricky Folse	L
Tony Fryklund	L
Warren Donley	L
Hector Garza	L
Tom East	L
Daryle Burkey	L
Pete Spratt	L
