Tony Lopez	D
Dan McGlasson	W
Brad Scholten	W
Shawn Marchand	W
Thales Leites	L
Lee McKibbin	W
Bryan Baker	L
Brian Warren	W
Sean Salmon	W
Victor Moreno	W
Joe Trujillo	W
Jason Guida	W
Chris Davis	W
Rousimar Palhares	L
Dean Lister	L
Nate Marquardt	L
Court McGee	W
Jorge Santiago	L
Falaniko Vitale	W
Matt Lindland	L
Chael Sonnen	W
Trevor Prangley	W
Chuck Liddell	L
Spencer Canup	W
Joshua Burkman	W
William Hill	W
Kazuki Okubo	W
Chael Sonnen	W
Kyle Seals	W
Anderson Silva	L
Cameron Brown	W
Chael Sonnen	W
David Loiseau	W
Ron Fields	W
Dean Lister	W
Mikhail Avetisyan	W
Forrest Griffin	W
Renato Sobral	L
William Hill	W
Vernon White	W
Homer Moore	W
Chalid Arrab	W
Travis Fulton	W
Kristof Midoux	W
Aaron Brink	W
Gilbert Yvel	W
Steve Funn	W
Greg Wikan	W
Stephan Potvin	W
Akira Shoji	W
Dan Theodore	W
Ricardo Arona	L
Shaun Wagner	W
Demetrius Worlds	W
Brad Krane	W
Iouri Bekichev	W
Griffen Reynaud	W
Elvis Sinosic	L
Randy Couture	L
Chris Haseman	W
John Hall	W
Eugene Jackson	W
Ricardo Arona	L
Keith Mielke	W
Jason Allar	W
Nate Parmelee	W
Kiyoshi Tamura	L
Yoshihisa Yamamoto	W
George Randolph	W
Antonio Rodrigo Nogueira	L
Aaron Pendleton	W
John Marsh	W
Johnathan Ivey	W
Hiromitsu Kanehara	L
Jason Godsey	W
Adam Harris	W
Daiju Takase	W
Scott Ventimiglia	W
Kris Rotharmel	W
Justin Ellison	W
Jim Theobald	W
Mike Delaney	W
Todd Butler	W
Jammy Daniels	W
Brandon Wilson	W
Chuck Liddell	W
Steve Berger	W
Ken Parr	W
Mark Walker	W
John Dixson	W
Rene Tremblay	W
Nick Starks	W
Rich Nettleton	W
Jerome Smith	W
Derrick Ruffin	W
Ebenezer Fontes Braga	L
Wayne Pittman	W
Clayton Miller	W
Todd Butler	W
Jaymon Hotz	W
Frank Shamrock	L
Noe Hernandez	W
Pat Assalone	W
Dan Severn	D
Jason Godsey	L
Steven Goss	W
Dennis Reed	W
Gary Myers	W
Nate Schroeder	W
Nate Schroeder	W
Mark Hanssen	L
Mike Adsit	W
Rick Graveson	W
