Nicolas Dalby	W
Troy Lamson	W
Nikolay Aleksakhin	L
Natan Schulte	L
Michael Dufort	W
Derek Gauthier	W
Jeremie Capony	W
Derek Gauthier	W
Jimmy Spicuzza	W
Matt Dwyer	L
Matt MacGrath	L
Alexander Sarnavskiy	L
Gadji Zaipulaev	W
Dom O'Grady	W
Kevin Lee	L
Francisco Trinaldo	L
Michel Prazeres	L
Lindsey Hawkes	L
Shane Campbell	W
Ryan Healy	W
Alessandro Ricci	W
Eric St. Pierre	W
Brad Causey	W
Tony Hervey	W
Jason Saggo	W
Brandon Chagnon	W
Mike Ricci	L
Alka Matewa	W
Mark Durant	W
Mike Thibodeau	W
Luis Cepeda-Javier	W
Eric St. Pierre	W
