Giorgio Pietrini	W
Abner Lloveras	W
Luan Chagas	L
Jessin Ayari	L
Gennadiy Kovalev	W
Rafal Moks	W
Rodrigo Ribeiro	W
Juan Manuel Suarez	W
Danny Roberts	L
Florent Betorangal	W
Eddy Ellis	L
Matt Veach	W
Lyman Good	L
Joey Villasenor	W
Frank Trigg	W
Rick Hawn	L
Ryan Thomas	W
Shaun Lomas	W
Che Mills	W
Marius Buzinskas	W
Fabio Toldo	W
Igor Araujo	W
Fabricio Nascimento	W
Tom Haddock	W
Charles Blanchard	L
Steven Lynch	W
Marius Liaukevicius	W
Jordan James	W
Lewis Barrow	W
Dennis Siver	L
Jason Tan	W
Camara Bouna	W
Xander Nel	W
Peter Angerer	L
John Phillips	W
Henning Svendsen	W
Paul Jenkins	W
Steve Singh-Sidhu	W
Chris Rice	L
Boris Jonstomp	L
Leslee Ojugbana	W
Steve Mathews	W
