Bojan Velickovic	W
Yuri Villefort	W
Paul Bradley	W
Herman Terrado	L
Jason High	W
Jon Fitch	L
Jorge Patino	W
Brian Foster	L
Brian Foster	W
Juliano Luis dos Santos	W
Jeovane Santana	W
Gilmar Dutra Lima	W
Jackson Miranda	W
Edson Mosca	W
Elias Silverio	L
Rafael Natal	L
Wellington Geraldo de Oliveira	W
Thiago Rela	W
Givago Francisco	W
Deyvison Santos	W
Vagner Tiburcio	W
Fabio Selim	W
Sean Salmon	W
Eddie Larrea	L
Joshua Thorpe	W
Eric Thompson	W
Colby McMahon	W
Eduardo Baby	W
Marcelo Pirulito	W
Kaue Dudus	L
Leandro Gordo	L
Fausto Black	L
Bruno Amorim	W
