Jonathan Pearce	W
Chris Gruetzemacher	L
Clay Guida	L
Stevie Ray	L
Marcin Held	W
Jim Miller	L
Diego Sanchez	W
Evan Dunham	L
Takanori Gomi	W
Al Iaquinta	L
Michael Chiesa	W
Mac Danzig	W
Michael Johnson	L
Jim Miller	L
Jamie Varner	W
Anthony Pettis	L
Melvin Guillard	W
Curt Warburton	W
George Sotiropoulos	L
Gabe Ruediger	W
Sam Stout	L
Jeremy Stephens	W
Kyle Bradley	W
Kenny Florian	L
Jason Reinhardt	W
Brandon Melendez	W
Manvel Gamburyan	L
Jens Pulver	W
Douglas Brown	W
Zane Baker	W
Adam Comfort	W
Raphael Assuncao	L
Antoine Skinner	W
Ivan Menjivar	L
Tim Honeycutt	W
Jorge Masvidal	L
Joe Ahlert	W
Ryan Ciotoli	W
Mike Brown	W
Justin Blasich	W
Renat Myzabekov	W
Kyle Sprouse	W
Jerry Mosquea	W
David Gilrein	W
