Gabriel Miglioli	W
Daniel McWilliams	W
Dominique Robinson	L
Dakota Cochrane	L
Javier Vazquez	L
Danny Castillo	L
Mac Danzig	L
George Sotiropoulos	L
Spencer Fisher	W
Nate Diaz	W
Diego Sanchez	L
Kenny Florian	L
Gleison Tibau	W
BJ Penn	L
Kurt Pellegrino	W
Melvin Guillard	W
Dokonjonosuke Mishima	W
Yves Edwards	W
Josh Neer	L
Luke Cummo	W
Joe Camacho	W
Cory Cass	W
Thomas Schulte	W
Demitrius Jefford	W
Kiko Cassela	W
Thomas Denny	W
Chuck Kim	W
Casey Balkenbush	W
Romie Aram	L
Jeremy Jackson	W
Cruz Chacon	W
Jerry Gummo	W
Brad Gumm	W
Gary Aldar	W
Brad Gumm	L
Ryan Painter	W
Edwin Dewees	W
Ronald Jhun	L
Maurice Wilson	W
Kai Kamaka	W
Erik Meaders	W
Mike Berardi	W
David Roberts	W
Toby Imada	W
Maurice Wilson	L
Chris Brennan	L
Steve Horton	W
Jens Pulver	L
Joe Camacho	W
