Joe Warren	W
Leandro Higo	L
Darrion Caldwell	L
Darrion Caldwell	W
Sirwan Kakai	W
Antonio Duarte	W
Michael Parker	W
Rob Emerson	L
Justin Wilcox	L
Andrew Fisher	W
Ronnie Rogers	W
Jang Yong Kim	W
Harris Sarmiento	W
Young Jun Kim	W
Travis Beyer	W
Yong Nam Gu	W
Chan Ho Bae	W
Per Eklund	W
Alex Castro	W
Toshiaki Kitada	L
Tomonori Taniguchi	L
Alex Castro	W
Colin MacKenzie	W
Derrick Rangamar	W
Maurice Eazel	L
Jimmy Jarquin	D
Sourikone Nhinsavath	W
Albert Manners	W
Chico Cantiberos	W
Matt Manibusan	W
Ray Quidachay	W
Justin Guzman	L
T.B. Hardison	W
