Sergei Kharitonov	L
Alessio Sakara	L
Chase Gormley	L
Lamont Stafford	W
Kendall Grove	L
Brian Rogers	W
Emanuel Newton	L
Vladimir Matyushenko	W
Quinton Jackson	L
Fabio Maldonado	L
Igor Pokrajac	D
James Te Huna	L
Anton Talamantes	W
Lavar Johnson	L
Stipe Miocic	L
Aaron Rosa	W
Pat Barry	L
Matt Mitrione	L
Tim Hague	W
Rolles Gracie	W
Houston Alexander	W
Tony Lopez	L
Tracy Willis	W
Wes Combs	W
Sherman Pendergarst	W
Jacob Browy	W
Wes Fenton	W
Tony Lopez	L
Phil Friedman	W
Ray Seraile	W
Tony Velarde	W
Paul Ingrassia	W
Yohan Banks	L
