David Rickels	D
Eric Wisely	W
Will Brooks	L
Dave Mazany	D
Shane Roller	L
Mark Bocek	L
Ryan Healy	W
Luiz Firmino	W
Shawn Fitzsimmons	W
Siyar Bahadurzada	L
Phil Collins	W
War Machine	W
Chris Clements	W
Matt Delanoit	W
Luigi Fioravanti	W
Andrew Buckland	W
Andre Galvao	L
Paul Daley	L
Gideon Ray	W
Pete Spratt	W
Brock Larson	L
Todd Moore	W
Marcelo Brito	W
Alex Serdyukov	W
Carlos Condit	L
Brian Gassaway	W
Thiago Alves	L
Alex Serdyukov	D
Diego Sanchez	L
Trenell Young	W
Shannon Ritch	W
Jonathan Goulet	L
Brandon Olsen	W
Ronald Jhun	W
Jason Black	L
Eiji Mitsuoka	W
Chris Brennan	W
John De La O	W
Nassor Lewis	W
Sean Pierson	W
Thomas Denny	W
Joe Doerksen	L
Pat Miletich	L
Jay Palmer	W
John Chrisostomo	W
Egan Inoue	L
Jason Meaders	W
Kosei Kubota	L
Fritz Borchardt	W
Ben Earwood	W
David Harris	L
Mike Headley	W
Derek McClinton	W
