Merab Dvalishvili	L
Nathaniel Wood	W
Petr Yan	L
Jimmie Rivera	L
Pedro Munhoz	W
Marlon Moraes	L
Eddie Wineland	W
John Lineker	L
Manvel Gamburyan	W
Demetrious Johnson	L
Zach Makovsky	W
John Moraga	W
Darrell Montague	W
Demetrious Johnson	L
Jussier Formiga	W
Tim Elliott	W
TJ Dillashaw	W
Johnny Bedford	W
John Moraga	W
Jessie Riggleman	W
Pat Runez	L
Jose Lujan	W
Jose Villarisco	W
Mike Easton	L
Vern Baca	W
Zac White	W
Bill Boland	L
Jake Long	W
Clint Godfrey	W
Joe Doherty	L
Jared Moreland	W
Johnny Velasquez	W
Yasuhiro Urushitani	L
Zac White	W
