Brad Wheeler	L
Stefano Paterno	L
Leonardo Damiani	W
Tommy Depret	L
Shah Hussain	W
Borys Mankowski	L
Kieran Malone	W
Colin Fletcher	W
Vincent Del Guerra	W
Aymard Guih	W
Alexandre Roumette	W
Damir Hadzovic	L
Saul Rogers	L
Philip Mulpeter	W
Mitch Clarke	L
Matthew Riddle	L
John Hathaway	L
DaMarques Johnson	W
Justin Edwards	W
Peter Irving	W
Jamaine Facey	W
Dean Amasinger	W
Henrique Santana	W
Wayne Murrie	W
Simeon Thoresen	L
Edgelson Lua	W
Tom Watson	L
Chris Rice	W
Lee Austin	W
Arman Gambaryan	L
Andy Costello	W
Jake Bostwick	W
Jake Bostwick	W
Alex Korsters	W
Ed Garass	W
Michael Pastou	W
Bill Mutch	W
Lee Webber	W
