Mikuru Asakura	L
Ashleigh Grimshaw	W
Kevin Croom	W
A.J. McKee	L
Pat Curran	L
Daniel Weichel	L
Justin Lawrence	W
Milson Araujo	W
Gleristone Santos	W
Fabricio Guerreiro	W
Scott Cleve	W
Oberdan Vieira Tenorio	W
Rivaldo Junior	D
Lucas Caio	W
Francisco Cylderlan Lima da Silva	W
Rafael Macedo da Silva	W
Hugo Viana	L
Paulo Dinis	W
Jamil Silveira da Conceicao	W
Guilherme Matos Rodrigues	W
Rafael Carvalho	W
Michel Addario Bastos	W
Francisco Diniz Carvalho Jr.	W
Jimmy Nascimento	W
Willian Cabocao	W
Rodrigo de Lima	D
Alisson Deivid Rodrigues	W
Marcio Alex dos Santos Vales	W
Alex Pantoja dos Santos	W
Marcio Alex dos Santos Vales	W
