Nathaniel Wood	L
Matthew Lopez	L
Manvel Gamburyan	W
Aljamain Sterling	L
Eddie Wineland	W
Jeff Curran	W
Raphael Assuncao	L
Jose Wilson	W
Paulo Dantas	W
Francisco Chagas	W
Donald Sanchez	W
Bruno Dias	W
Andre Luis Machado Oliveira	W
Munil Adriano	W
Francisco Ramos	W
Cristiano Bananada	W
Erinaldo dos Santos Rodrigues	W
Marcos Oliveira	W
Miguel Angel Duran	L
Milton Vieira	L
Aritano Barbosa	W
Jose Adriano	W
Marcilio Vilas Boas	L
Marcelo Cobra	W
Takuya Kuwabara	L
Takanori Gomi	L
Haroldo Bunn	L
Vanderci Garcia	W
Fabio Alves	W
Sergio Melo	L
Thiago Santana	W
Rudi Desouza	W
Wanderley Esmala	W
Arivaldo Souza	W
Guilherme Santos	W
Marcos Rodrigues	W
Douglas Nascimento	W
Claudionor Cardoso da Silva	W
Paulo Arum	W
Wander Braga	L
