Sabah Homasi	L
Alexander Sarnavskiy	L
Joao Zeferino	L
Islam Mamedov	L
Celso Venicius	W
Sergio Soares	W
Eric Reynolds	W
Luis Palomino	L
Wagner Campos	W
Diego Ferreira	L
Efrain Escudero	W
Isao Kobayashi	D
Derrick Krantz	W
Gerson Cordeiro	W
Clay Hantz	W
Mike Bronzoulis	W
Pete Spratt	W
Cleburn Walker	W
Andre Galvao	L
Roan Carneiro	L
Beau Baker	W
Kyacey Uscola	L
Gustavo Machado	W
Luis Santos	L
Fernando Pontes	L
Roberto Godoi	W
Curtis Stout	W
Eduardo Pamplona	L
Gabriel Vella	W
Carlos Baruch	W
Boris Jonstomp	W
Delson Heleno	L
Kazuo Misaki	L
Luis Brito	W
Jacare Souza	W
Luiz Claudio das Dores	D
Gustavo Machado	L
Daisuke Ishii	D
Pat Miletich	L
Jose Landi-Jons	L
Anderson Lima	W
Erico Correia	W
Jose Landi-Jons	L
Joao Joao	W
Carlos Arantes	W
Joao Bosco	L
Reinaldo Chagas	W
Antonio Pedra	W
Claudio Araujo Neves	W
Silvio Karate	W
Kiko Boxe	W
Pedro Leao	W
Guaracy Pereira	W
Ivo dos Reis	W
Paulo de Jesus	W
Jose de Campos	W
Claudionor Cardoso da Silva	W
Claudionor Cardoso da Silva	W
Ricardo Antiorio	W
Dulcino Silva	W
