Adam Borics	L
Timur Valiev	L
Marlon Moraes	L
Paulo Robinson	W
Maike Linhares	W
Anderson Dos Santos	W
Lisrael Pereira Figueiredo	W
Arivaldo Lima da Silva	W
Miguel Mancuso	W
Maikon de Carvalho	W
Alvino Jose Torres	W
Paulo Rodrigo de Sousa	W
Alexandre Cirne	W
Wilker Ribeiro da Costa	W
Thiago Silva	W
Patrick Soares	W
Dalton Mello Lima	W
Wellynthon Noronha	W
Gildo Ferreira	W
Giliarde Mota Silva	W
Dalton Mello Lima	L
Dileno Lopes	L
Laertes de Paula Vieira	W
Heliton dos Santos Davila	W
Marcelo Almeida	W
Laertes de Paula Vieira	W
Ozeias Costa	W
Gildo Ferreira	W
Elton Lima	W
Francisco Veras	L
Wagner Ferreira	L
Clebson Dantas	W
