Anthony Smith	L
Andre Santos	L
Paul Bradley	L
Travis Coyle	W
Ron Jackson	W
Anthony Smith	W
Court McGee	L
Justin Edwards	L
Mike Pyle	L
Duane Ludwig	W
Keith Wisniewski	W
Blas Avena	W
Jesse Juarez	W
Andre Kase	W
Jesse Finney	W
Eddie Alvarez	L
Anselmo Martinez	W
Matt Delanoit	W
Gleison Tibau	L
Kurt Pellegrino	L
Mac Danzig	W
Nate Diaz	L
Din Thomas	W
Nick Sorg	W
Paul Rodriguez	W
Mark Miller	L
Tyson Burris	W
Mark Gearhart	W
TJ Waldburger	W
Wayne Haijcek	W
Nick Diaz	L
Joshua Burkman	L
Joe Stevenson	W
Melvin Guillard	W
Alex Carter	W
Nick Thompson	L
Forrest Petz	W
Drew Fickett	L
Todd Kiser	W
Mark Long	W
Jay Jack	W
Derrick Noble	W
Terrance Reasby	W
Mark Bear	W
David Gardner	W
Anthony Macias	W
Fred Leavy	W
Kyle Jensen	W
Spencer Fisher	L
Joe Chacon	W
Joe Jordan	D
Royce Louck	W
Josh Kennedy	W
