Sean Woodson	W
A.J. Bryant	W
Julio Arce	L
Grant Dawson	L
Devonte Smith	L
Jamall Emmers	W
Bryan Nuro	W
Erick Sanchez	W
Bobby McIntyre	L
Justin Harrington	W
Justin Harrington	W
Paddy Pimblett	L
Austin Springer	W
Daniel Swain	W
Teruto Ishihara	L
Marcin Wrzosek	W
Artem Lobov	L
Drew Brokenshire	W
Harrison Bevens	W
Ryan Mulvihill	W
Mike Joy	W
Lee Morrison	L
Jason Gybels	W
Drew Brokenshire	L
Jason Gybels	W
Ryan Mulvihill	W
Jerome Jones	W
Matt Coble	W
Ernesto Toscano	W
John Martinez	W
Ryan Mulvihill	W
Omar Avelar	W
Angel Diaz	W
