Ray Cooper III	L
Herman Terrado	W
Ray Cooper III	L
Danny Davis Jr.	W
Jon Fitch	L
Rousimar Palhares	L
Brian Foster	W
Ryan Ford	W
Hector Lombard	L
Demian Maia	W
Tyron Woodley	W
Ed Herman	D
Yoshihiro Akiyama	W
Jake Ellenberger	L
Georges St-Pierre	L
Martin Kampmann	W
Dan Henderson	W
Jason Miller	W
Robbie Lawler	W
Paul Daley	W
Nick Thompson	W
Mike Pyle	W
Renato Verissimo	W
Ido Pariente	W
Ray Steinbeiss	W
Ray Steinbeiss	W
Steve Berger	W
Yushin Okami	W
Carlos Condit	W
Yushin Okami	W
Dave Menne	W
Toby Imada	W
Akira Kikuchi	L
Ray Cooper	W
Kazuo Misaki	D
Akira Kikuchi	W
Milton Vieira	W
Hayato Sakurai	W
Ray Cooper	L
Robert Ferguson	W
Jeremy Jackson	W
Tracy Hess	W
Randy Velarde	W
Phillip Miller	L
Shannon Ritch	W
Marty Armendarez	L
Brian Warren	W
Paul Harrison	W
